Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
950,53:08.4,-0.04,0.03,0.02,0.55,-0.18,10.87,-60,7.53060778
951,53:08.4,-0.04,0.03,0.01,0.54,-0.17,10.9,-60,7.53060778
952,53:08.5,-0.04,0.03,0.01,0.54,-0.17,10.92,-60,7.53060778
953,53:08.6,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
954,53:08.6,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
955,53:08.7,-0.04,0.03,0.01,0.55,-0.19,10.9,-60,7.53060778
956,53:08.7,-0.04,0.03,0.01,0.55,-0.19,10.9,-60,7.53060778
957,53:08.8,-0.04,0.03,0.01,0.54,-0.18,10.9,-60,7.53060778
958,53:08.9,-0.04,0.03,0.01,0.54,-0.17,10.9,-60,7.53060778
959,53:08.9,-0.04,0.03,0.01,0.55,-0.18,10.91,-60,7.53060778
960,53:09.0,-0.04,0.03,0.01,0.54,-0.17,10.92,-60,7.53060778
961,53:09.6,-0.04,0.03,0.01,0.54,-0.17,10.9,-60,7.53060778
962,53:09.1,0.16,0.05,0.01,0.1,4.32,10.09,-60,7.53060778
963,53:09.2,-0.04,0.2,0.1,0.83,4.75,10.77,-60,7.53060778
964,53:09.2,-0.09,0.16,0.05,0.71,4.49,11.02,-60,7.53060778
965,53:09.3,0.14,0.03,-0.09,0.56,3.46,9.7,-60,7.53060778
966,53:09.4,-0.01,-0.1,-0.08,0.89,1.25,10.2,-60,7.53060778
967,53:09.4,-0.15,0.15,-0.08,0.12,0.79,10.9,-59,7.163335705
968,53:09.5,0.01,0.08,0.1,-0.09,0.59,11.6,-58,6.8139757
969,53:09.6,-0.04,-0.03,0.1,1.13,0.03,10.8,-58,6.8139757
970,53:09.6,0.02,0.04,-0.05,0.03,0.74,10.17,-56,6.165540179
971,53:09.7,-0.38,0.05,0.12,0.19,-4.29,11.69,-55,5.864843236
972,53:09.7,-0.36,-0.11,0.08,0.33,-5.47,11.45,-55,5.864843236
973,53:09.8,-0.23,0,0.14,0.71,-5.48,10.75,-54,5.578811456
974,53:09.9,0.06,0.02,-0.01,0.43,-3.25,10.48,-54,5.578811456
975,53:09.9,-0.02,0.05,0,0.38,-1.89,10.88,-53,5.306729611
976,53:10.0,-0.04,0.04,0.02,0.49,-1.69,10.75,-53,5.306729611
977,53:10.6,-0.01,0.03,0.03,0.47,-0.3,10.85,-53,5.306729611
978,53:10.1,-0.03,0.03,0.02,0.53,0.01,10.89,-53,5.306729611
979,53:10.2,-0.04,0.03,0.01,0.49,-0.25,10.91,-53,5.306729611
980,53:10.3,-0.04,0.03,0.02,0.51,-0.1,10.89,-53,5.306729611
981,53:10.3,-0.04,0.03,0.01,0.5,-0.17,10.9,-53,5.306729611
982,53:10.4,-0.04,0.03,0.01,0.49,-0.15,10.9,-53,5.306729611
983,53:10.4,-0.04,0.03,0.02,0.49,-0.17,10.9,-53,5.306729611
984,53:10.5,-0.04,0.03,0.01,0.5,-0.16,10.89,-53,5.306729611
985,53:10.6,-0.04,0.03,0.01,0.5,-0.16,10.9,-53,5.306729611
986,53:10.6,-0.04,0.03,0.01,0.49,-0.16,10.91,-53,5.306729611
987,53:10.7,-0.04,0.03,0.01,0.49,-0.17,10.9,-53,5.306729611
988,53:10.8,-0.04,0.03,0.01,0.51,-0.15,10.9,-52,5.047917354
989,53:10.8,-0.04,0.03,0.01,0.5,-0.16,10.9,-52,5.047917354
990,53:10.9,-0.04,0.03,0.01,0.49,-0.16,10.9,-52,5.047917354
991,53:10.9,-0.04,0.03,0.01,0.49,-0.16,10.89,-52,5.047917354
992,53:11.1,-0.04,0.03,0.01,0.49,-0.16,10.9,-52,5.047917354
993,53:11.8,-0.04,0.03,0.01,0.49,-0.16,10.9,-52,5.047917354
994,53:11.1,-0.04,0.03,0.01,0.49,-0.16,10.91,-52,5.047917354
995,53:11.2,-0.04,0.03,0.01,0.5,-0.17,10.91,-52,5.047917354
996,53:11.3,-0.04,0.03,0.01,0.5,-0.16,10.9,-52,5.047917354
997,53:11.3,-0.04,0.03,0.01,0.5,-0.16,10.91,-52,5.047917354
998,53:11.4,-0.04,0.03,0.01,0.5,-0.16,10.9,-52,5.047917354
999,53:11.4,-0.04,0.03,0.01,0.5,-0.16,10.9,-52,5.047917354
1000,53:11.5,-0.04,0.03,0.01,0.5,-0.15,10.91,-52,5.047917354
