Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
302,1627718417,-0.04,0.03,0.01,0.54,0.11,10.91,-47
303,1627718418,-0.04,0.03,0.01,0.54,0.11,10.91,-48
304,1627718418,-0.04,0.03,0.01,0.54,0.11,10.91,-48
305,1627718419,-0.04,0.03,0.01,0.54,0.11,10.92,-47
306,1627718420,-0.04,0.03,0.01,0.55,0.1,10.93,-47
307,1627718421,-0.04,0.03,0.01,0.54,0.11,10.9,-47
308,1627718422,-0.04,0.03,0.01,0.54,0.1,10.93,-47
309,1627718423,-0.04,0.04,0.01,0.54,0.11,10.9,-47
310,1627718423,-0.04,0.03,0.01,0.55,0.1,10.93,-47
311,1627718424,-0.04,0.03,0.01,0.53,0.11,10.94,-47
312,1627718425,-0.04,0.04,0.01,0.54,0.11,10.91,-47
313,1627718426,-0.04,0.03,0.01,0.54,0.11,10.92,-47
314,1627718427,-0.04,0.03,0.01,0.54,0.09,10.92,-47
315,1627718428,-0.04,0.03,0.01,0.54,0.1,10.92,-47
316,1627718429,-0.04,0.04,0.01,0.54,0.11,10.91,-47
317,1627718430,-0.04,0.03,0.01,0.54,0.11,10.91,-47
318,1627718431,-0.04,0.03,0.01,0.54,0.11,10.91,-47
319,1627718432,-0.04,0.03,0.01,0.54,0.08,10.93,-47
320,1627718433,-0.04,0.03,0.01,0.54,0.1,10.92,-47
321,1627718434,-0.04,0.03,0.01,0.54,0.1,10.92,-47
322,1627718435,-0.04,0.03,0.01,0.53,0.11,10.92,-47
323,1627718435,-0.04,0.03,0.01,0.53,0.09,10.92,-47
324,1627718436,-0.04,0.03,0.01,0.53,0.1,10.92,-47
325,1627718437,-0.04,0.03,0.01,0.54,0.11,10.91,-47
326,1627718438,-0.04,0.03,0.01,0.55,0.1,10.91,-47
327,1627718439,-0.04,0.03,0.01,0.54,0.1,10.91,-47
328,1627718440,-0.04,0.03,0.01,0.55,0.11,10.91,-47
329,1627718440,-0.04,0.03,0.01,0.53,0.1,10.92,-47
330,1627718441,-0.04,0.03,0.01,0.55,0.11,10.91,-47
331,1627718442,-0.04,0.04,0.01,0.53,0.11,10.91,-47
332,1627718443,-0.04,0.03,0.01,0.53,0.11,10.91,-47
333,1627718444,-0.04,0.03,0.01,0.55,0.1,10.92,-47
334,1627718444,-0.04,0.03,0.01,0.53,0.11,10.92,-47
335,1627718445,-0.04,0.03,0.01,0.53,0.11,10.93,-48
336,1627718446,-0.04,0.03,0.01,0.54,0.1,10.91,-47
337,1627718447,-0.04,0.03,0.01,0.54,0.1,10.91,-48
338,1627718448,-0.04,0.03,0.01,0.54,0.11,10.91,-47
339,1627718448,-0.04,0.03,0.01,0.53,0.11,10.91,-47
340,1627718449,-0.04,0.03,0.01,0.54,0.11,10.93,-47
341,1627718450,-0.04,0.03,0.01,0.54,0.1,10.92,-47
342,1627718451,-0.04,0.04,0.01,0.53,0.1,10.91,-47
343,1627718452,-0.04,0.04,0.01,0.53,0.09,10.9,-47
344,1627718452,-0.04,0.03,0.01,0.54,0.1,10.91,-47
345,1627718453,-0.04,0.03,0.01,0.54,0.1,10.91,-47
346,1627718454,-0.04,0.03,0.01,0.53,0.1,10.91,-47
347,1627718455,-0.04,0.03,0.01,0.53,0.1,10.92,-47
348,1627718456,-0.04,0.03,0.01,0.53,0.09,10.92,-46
349,1627718456,-0.04,0.03,0.01,0.53,0.11,10.91,-48
350,1627718457,-0.04,0.03,0.01,0.54,0.1,10.91,-48
351,1627718458,-0.04,0.03,0.01,0.53,0.1,10.91,-48
352,1627718459,-0.04,0.03,0.01,0.54,0.11,10.9,-48
353,1627718460,-0.04,0.03,0.01,0.53,0.1,10.92,-47
354,1627718460,-0.04,0.03,0.01,0.53,0.1,10.92,-48
355,1627718461,-0.04,0.03,0.01,0.54,0.09,10.94,-47
356,1627718462,-0.04,0.04,0.01,0.54,0.09,10.92,-47
357,1627718463,-0.04,0.03,0.01,0.53,0.09,10.92,-47
358,1627718464,-0.04,0.03,0.01,0.53,0.11,10.92,-47
359,1627718464,-0.04,0.03,0.01,0.53,0.1,10.91,-47
360,1627718465,-0.04,0.03,0.01,0.53,0.11,10.91,-47
361,1627718466,-0.04,0.03,0.01,0.53,0.1,10.92,-47
362,1627718467,-0.04,0.03,0.01,0.53,0.11,10.92,-47
363,1627718468,-0.04,0.03,0.01,0.53,0.1,10.91,-47
364,1627718468,-0.04,0.03,0.01,0.53,0.12,10.93,-49
365,1627718469,-0.04,0.04,0.01,0.53,0.1,10.91,-47
366,1627718470,-0.04,0.03,0.01,0.53,0.09,10.91,-48
367,1627718471,-0.04,0.03,0.01,0.53,0.1,10.93,-48
368,1627718472,-0.04,0.03,0.01,0.53,0.11,10.92,-47
369,1627718472,-0.04,0.03,0.01,0.53,0.1,10.91,-47
370,1627718473,-0.04,0.03,0.01,0.54,0.11,10.91,-48
371,1627718474,-0.04,0.03,0.01,0.54,0.09,10.92,-47
372,1627718475,-0.04,0.03,0.01,0.53,0.11,10.92,-47
373,1627718476,-0.04,0.03,0.01,0.54,0.09,10.92,-47
374,1627718477,-0.04,0.03,0.01,0.53,0.1,10.92,-47
375,1627718477,-0.04,0.03,0.01,0.53,0.11,10.93,-46
376,1627718478,-0.04,0.03,0.01,0.54,0.1,10.91,-48
377,1627718479,-0.04,0.03,0.01,0.53,0.1,10.92,-46
378,1627718480,-0.04,0.03,0.01,0.54,0.1,10.91,-37
379,1627718481,-0.04,0.03,0.01,0.53,0.1,10.92,-42
380,1627718481,-0.04,0.03,0.01,0.53,0.1,10.91,-43
381,1627718482,-0.04,0.03,0.01,0.53,0.11,10.92,-41
382,1627718483,-0.04,0.03,0.01,0.53,0.1,10.91,-40
383,1627718484,-0.04,0.03,0.01,0.53,0.1,10.91,-40
384,1627718485,-0.04,0.04,0.01,0.53,0.1,10.93,-41
385,1627718486,-0.04,0.03,0.01,0.53,0.11,10.91,-41
386,1627718486,-0.04,0.03,0.01,0.53,0.08,10.91,-41
387,1627718487,-0.04,0.03,0.01,0.54,0.1,10.91,-42
388,1627718488,-0.04,0.03,0.01,0.54,0.1,10.93,-43
389,1627718489,-0.04,0.03,0.01,0.53,0.1,10.91,-42
390,1627718490,-0.04,0.03,0.01,0.53,0.1,10.9,-41
391,1627718490,-0.04,0.03,0.01,0.53,0.1,10.91,-41
392,1627718491,-0.04,0.03,0.01,0.54,0.1,10.91,-40
393,1627718492,-0.04,0.03,0.01,0.54,0.1,10.9,-40
394,1627718493,-0.04,0.03,0.01,0.53,0.1,10.92,-41
395,1627718494,-0.04,0.03,0.01,0.53,0.11,10.92,-41
